Year,Cashewnut-Area,Cashewnut-Production,Arecanut-Area,Arecanut-Production,Cocoa-Area,Cocoa-Production,Coconut-Area,Coconut-Production,Total-Area,Total-Production
2001-02,740,460,334.8,409.3,NA,NA,NA,NA,2984,9697
2002-03,740,460,334.8,409.3,NA,NA,NA,NA,2984,9697
2003-04,780,535,365,439.2,NA,NA,NA,NA,3102,13161
2004-05,820,544,364.3,452.7,NA,NA,NA,NA,3147,9835
2005-06,843,579,381.1,483.1,NA,NA,NA,NA,3283,11263
2006-07,854,620,382.7,483.3,30.3,10.2,1939.9,10893.8,3206.9,12007.3
2007-08,868,665,386.6,476,31.8,10.6,1903.2,10148.3,3189.6,11300.2
2008-09,893,695,387.1,481.3,34,11.8,1903.2,10148.3,3217.3,11336.4
2009-10,923,613,400.09,477.99,46.3,12.9,1895.2,10824.3,3264.59,11928.19
2010-11,953.2,674.6,400.3,478.1,56.5,14.4,1895.9,10840,3305.9,12007.1
2011-12,978.9,725.3,463.8,680.8,63,12.9,2070.7,14940,3576.4,16359
2012-13,991.6,753.4,446.4,608.7,66.5,13.4,2136.7,15609.1,3641.2,16984.6
2013-14,1010.847,753.162,451.9,622.27,71.365,15.133,2140.485,14910.65848,3674.597,16301.22348
2014-15,1029.085,741.775,454.89,732.44,78,16.05,1975.818,14154.152,3537.793,15644.417
