Category,State/ UT Name,Cashewnut-Area-2009-10,Cashewnut-Area-2010-11,Cashewnut-Area-2011-12,Cashewnut-Area-2012-13,Cashewnut-Area-2013-14,Cashewnut-Area-2014-15 @,Cashewnut-Production-2009-10,Cashewnut-Production-2010-11,Cashewnut-Production-2011-12,Cashewnut-Production-2012-13,Cashewnut-Production-2013-14,Cashewnut-Production-2014-15 @,Arecanut-Area-2009-10,Arecanut-Area-2010-11,Arecanut-Area-2011-12,Arecanut-Area-2012-13,Arecanut-Area-2013-14,Arecanut-Area-2014-15 @,Arecanut-Production-2009-10,Arecanut-Production-2010-11,Arecanut-Production-2011-12,Arecanut-Production-2012-13,Arecanut-Production-2013-14,Arecanut-Production-2014-15 @,Cocoa-Area-2009-10,Cocoa-Area-2010-11,Cocoa-Area-2011-12,Cocoa-Area-2012-13,Cocoa-Area-2013-14,Cocoa-Area-2014-15 @,Cocoa-Production-2009-10,Cocoa-Production-2010-11,Cocoa-Production-2011-12,Cocoa-Production-2012-13,Cocoa-Production-2013-14,Cocoa-Production-2014-15 @,Coconut-Area-2009-10,Coconut-Area-2010-11,Coconut-Area-2011-12,Coconut-Area-2012-13,Coconut-Area-2013-14,Coconut-Area-2014-15 @,Coconut-Production-2009-10,Coconut-Production-2010-11,Coconut-Production-2011-12,Coconut-Production-2012-13,Coconut-Production-2013-14,Coconut-Production-2014-15 @,Total-Area-2009-10,Total-Area-2010-11,Total-Area-2011-12,Total-Area-2012-13,Total-Area-2013-14,Total-Area-2014-15 @,Total-Production-2009-10,Total-Production-2010-11,Total-Production-2011-12,Total-Production-2012-13,Total-Production-2013-14,Total-Production-2014-15 @
State,Andhra Pradesh,183,183,184,184,185,185.5,99,107,113.6,118.1,100.4,100,0.3,0.3,5.3,0.6,0.5,0.5,0.2,0.2,8.5,0.3,0.3,0.3,17,17.5,18.7,20.7,22.2,23.5,2.7,3,4,4.2,5.6,6.3,104,104,142,128.9,121.9,106,667,667,1270,1330.4,1258.4,1094.4,304.3,304.8,350,334.2,329.6,315.4,768.9,777.2,1396.1,1453,1364.7,1201
State,Arunachal Pradesh,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.6,0
State,Assam,NA,NA,0.6,0.9,1,1.1,NA,NA,0.5,0.5,6.5,0.6,70,70,73.1,75.1,76.6,76.6,62.7,62.7,72.9,72.6,74,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,18.8,20.8,22.2,20.2,21.1,NA,101,194.8,110.3,94,163.5,88.8,88.8,94.5,98.2,97.8,98.8,62.7,163.7,268.2,183.4,174.6,238.1
State,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,15.3,15.2,14.9,NA,NA,97.5,97.1,97.3,97.3,NA,NA,15.2,15.3,15.2,14.9,NA,NA,97.5,97.1,97.3,97.3
State,Chhattisgarh,33,33,13.5,13.5,13.6,13.7,17,19,15,9.6,8.8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,1.4,1.5,1.7,NA,6.3,6.3,7.9,15.2,19.2,33,33.7,14.3,14.9,15.1,15.4,17,25.3,21.3,17.5,24,27.7
State,Goa,55,56,57.5,57.5,58,58.2,26,24,28.8,30,32.4,32,1.9,1.9,1.7,1.7,1.7,1.7,2.8,2.8,2.9,2.9,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,25.6,25.7,25.7,25.8,25.8,NA,88,89,84.5,88.2,87.9,82.5,83.5,84.9,84.9,85.5,85.7,28.8,114.8,120.7,117.4,123.4,122.8
State,Gujarat,NA,7.1,7.6,8,8,8,NA,21.3,22.9,24.5,24.5,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,20.9,21.2,31.6,31.6,NA,108,217.9,221.9,203.1,203.1,16,23.1,28.5,29.2,39.6,39.6,NA,129.3,240.8,246.4,227.6,227.6
State,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
State,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
State,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
State,Jharkhand,NA,NA,10.5,11.5,13.8,14.8,NA,NA,4,4.6,4.6,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,11.5,13.8,14.8,NA,NA,4,4.6,4.6,4.5
State,Karnataka,118,119,121.3,122.1,124.1,124.7,53,57,66,74.6,80.6,80.5,184.5,184.5,236.8,221.4,217.5,218,224,224,380.8,358.6,348.8,450,9,9.5,10.6,10.9,11.7,12.9,3,3.4,2,2.1,2.1,2,419,419,511,513.1,517.3,515,NA,1497,3784.6,4169.9,3469.5,3538.3,730.5,732,879.7,867.5,870.6,870.6,280,1781.4,4233.4,4605.2,3901,4070.8
State,Kerala,72,78,82.9,84.9,84.9,84.5,66,71,74,77,80.1,80,97.2,97.2,97.1,96.6,102.1,101.4,112.1,112.1,117.3,96.3,113.4,119.4,11,11.6,12.3,12.5,13.5,14.7,6.3,7,5.9,6.1,6.3,6,788,788,766,798.2,797.2,649.8,NA,3992,3973.9,3990.4,4107.4,3370,968.2,974.8,958.3,992.2,997.7,850.4,184.4,4182.1,4171.1,4169.8,4307.2,3575.4
State,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
State,Maharashtra,175,181,183,184.2,184.2,186.2,198,208,216,224.6,236.2,235,2.2,2.2,2.2,2.2,2.2,2.2,3.6,3.6,3.6,3.6,3.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,21,28.1,28.1,28.1,NA,120,120,129,129,129,198.2,204.2,206.2,214.5,214.5,216.5,201.6,331.6,339.6,357.2,368.8,367.6
State,Manipur,NA,NA,NA,NA,0.9,0.9,NA,NA,NA,NA,1.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,NA,NA,NA,NA,1.5,0.2
State,Meghalaya,NA,NA,8,8.5,8.5,8.5,NA,NA,9,9.4,4.7,4.5,12.4,12.4,14.6,14.6,17.1,17.1,17.1,17.1,19.8,19.8,24.7,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,12.4,22.6,23.1,25.6,25.6,17.1,17.1,28.8,29.2,29.4,29.2
State,Mizoram,NA,NA,NA,NA,0,0,NA,NA,2,NA,0,0,6.6,6.6,5,7.6,7.6,10.7,8.2,8.2,12.4,4.3,4.3,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.1,0.1,0.1,0.1,6.6,6.6,5,7.6,7.6,10.8,8.2,8.2,14.5,4.4,4.4,7.4
State,Nagaland,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.3,1.3,1.3,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,0.9,1.3,1.5,1.5,NA,0.3,0.3,10.4,11.2,11.2,1.1,1.1,1.1,1.5,1.7,2.2,1.3,1.6,1.6,10.5,11.4,11.6
State,Odisha,143,149,157.5,163.9,166.9,180.4,84,91,96,100.8,85.7,85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,53.9,54.3,50.8,50.7,NA,190,258,262.2,223.6,223.6,194,200,211.4,218.2,217.7,231.1,84,281,354,363,309.3,309.1
State,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
State,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
