State,Season,Crop,Temperature,Rainfall,Area,Yield
1,1,1,27.8616666666667,2763.2,102,321
1,1,1,28.0536666666667,3080.9,83,300
1,1,1,28.0998333333333,2620.2,189.2,510.84
1,1,1,28.0801666666667,2355.9,52,90.17
1,1,1,27.9308333333333,2460.1,52.94,72.57
1,1,1,28.2021666666667,2954.7,2.09,12.06
1,1,1,28.646,3157.1,3.5,10
1,1,1,27.8616666666667,2763.2,10779,31863
1,1,1,28.0536666666667,3080.9,9718,27033
1,1,1,27.9246666666667,2404.7,6854.3,18995.62
1,1,1,28.646,3157.1,6791,20118
1,1,1,28.0998333333333,2620.2,10695.8,31600.82
1,1,1,28.0801666666667,2355.9,10509.37,30760.7
1,1,1,27.9308333333333,2460.1,10681.98,29119.66
1,1,1,28.2021666666667,2954.7,8683.38,25870.98
1,1,1,27.9246666666667,2404.7,921.87,2539.64
1,1,1,28.646,3157.1,1595.5,3788
2,1,1,29.3941666666667,575.694,35600,75400
2,2,1,25.9783333333333,221.47,18000,37300
2,1,1,29.5125,790.777,38300,96800
2,2,1,26.6205,90.696,26600,63900
2,1,1,28.7536666666667,571.786,37991,105082
2,2,1,26.3013333333333,91.784,20258,45669
2,1,1,28.7226666666667,703.741,39905,117680
2,2,1,26.2951666666667,63.61,22099,57236
2,1,1,29.1538333333333,491.622,32878,95609
2,2,1,26.4146666666667,84.76,38119,108906
2,1,1,29.4455,512.051,29066,66329
2,2,1,26.4505,28.019,10960,20462
2,1,1,28.7231666666667,500.4,24335,85051
2,2,1,26.2636666666667,64.1,9240,21622
2,1,1,29.2271666666667,726.1,25008,69972
2,2,1,26.2478333333333,93.6,23142,55587
2,1,1,29.1621666666667,354.5,22349,67427
2,2,1,26.222,141.1,10846,31974
2,1,1,29.112,665,30000,95000
2,2,1,26.3211666666667,24.9,14000,37000
2,1,1,29.0945,680.9,30306,94615
2,2,1,26.1485,186.2,18416,49815
2,1,1,29.6225,506.8,32226,101512
2,2,1,26.8253333333333,78.8,19428,46899
2,1,1,29.0765,614.3,34973,102007
2,2,1,26.7608333333333,239.5,24828,69394
2,1,1,29.3941666666667,614.07,42300,84400
2,2,1,25.9783333333333,418.05,57400,137400
2,1,1,29.5125,765.66,42000,105400
2,2,1,26.6205,216.12,62400,159200
2,1,1,28.7536666666667,660.618,37542,75477
2,2,1,26.3013333333333,131.456,37489,76800
2,1,1,28.7226666666667,804.511,33776,89236
2,2,1,26.2951666666667,129.48,41442,97181
2,1,1,29.1538333333333,648.08,24377,55311
2,2,1,26.4146666666667,163.25,62049,170573
2,1,1,29.4455,627.11,20137,50020
2,2,1,26.4505,110.45,30034,76827
2,1,1,28.7231666666667,687.8,19055,43331
2,2,1,26.2636666666667,122.8,25822,69177
2,1,1,29.2271666666667,1017.5,16240,37173
2,2,1,26.2478333333333,526.8,66351,193612
2,1,1,29.1621666666667,363.37,17049,42520
2,2,1,26.222,176.94,29164,85101
2,1,1,29.112,600,15000,42000
2,2,1,26.3211666666667,92.818,37000,116000
2,1,1,29.0945,615,17596,46242
2,2,1,26.1485,383.4,37927,118636
2,1,1,29.6225,500.4,19758,56192
2,2,1,26.8253333333333,254,35155,113937
2,1,1,29.0765,739.4,18019,53639
2,2,1,26.7608333333333,340.2,43558,131502
2,1,1,29.3941666666667,943.25,214100,429300
2,2,1,25.9783333333333,256.72,154400,491500
2,1,1,29.5125,998.23,256300,386600
2,2,1,26.6205,170.97,157600,656600
2,1,1,28.7536666666667,767.54,244655,628606
2,2,1,26.3013333333333,7.18,161551,645162
2,1,1,28.7226666666667,1200.8,253966,683423
2,2,1,26.2951666666667,64.63,162861,683202
2,1,1,29.1538333333333,883.78,220811,579850
2,2,1,26.4146666666667,123.72,165779,750150
2,1,1,29.4455,690.069,194809,551115
2,2,1,26.4505,98.411,106427,491906
2,1,1,28.7231666666667,942.1,224521,743614
2,2,1,26.2636666666667,41.2,162903,766296
2,1,1,29.2271666666667,1332,217411,348727
