State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Total,Kharif,Rabi
Andaman and Nicobar Islands,Andaman,2004,59.1,109,26,30.2,546.8,456.6,313.9,336.1,270.8,239,177.3,2.2,2567,2163.2,403.8
Andaman and Nicobar Islands,Andaman,2005,2.7,0,3.6,36.7,220,482.7,400.5,337.6,506.4,329.2,296.6,215.8,2831.8,2276.4,555.4
Andaman and Nicobar Islands,Andaman,2006,6.9,0.4,14,133.6,336.1,374.1,200.5,243.4,599.6,369.4,57.1,66.5,2401.6,2123.1,278.5
Andaman and Nicobar Islands,Andaman,2007,0,0,0,56.8,338.4,390.7,469.2,455,546.6,241.7,199.4,34.2,2732,2441.6,290.4
Andaman and Nicobar Islands,Andaman,2008,11.8,67.7,97.3,194.7,650.4,503.9,595.6,498.9,399.8,243.1,303.1,47.4,3613.7,2891.7,722
Andaman and Nicobar Islands,Andaman,2009,0,0,23.8,131.9,274.4,758.2,345.5,447.6,421.1,319.6,51.2,64.5,2837.8,2566.4,271.4
Andaman and Nicobar Islands,Andaman,2010,103.5,0,0,5,408.1,394.5,597.1,788.5,292.5,544.8,94.7,137.2,3365.9,3025.5,340.4
Andaman and Nicobar Islands,Nicobar,2004,25.5,113.4,93.5,83.4,390.9,324.9,293.7,206.2,323.6,207.8,164.7,102.5,2330.1,1747.1,583
Andaman and Nicobar Islands,Nicobar,2005,75.5,0,83.6,66.8,262.8,430.1,166.9,174.2,183.9,226,323.4,528.3,2521.5,1443.9,1077.6
Andaman and Nicobar Islands,Nicobar,2006,49.4,61.6,169.2,305.5,364.7,344.3,141.4,137.1,378.5,409.8,144,103.4,2608.9,1775.8,833.1
Andaman and Nicobar Islands,Nicobar,2007,21.5,7,60.4,51.1,433.8,343.7,180.8,347.6,277.2,232.8,315.1,123.7,2394.7,1815.9,578.8
Andaman and Nicobar Islands,Nicobar,2008,33.2,14,182.3,235.9,187,282.3,214.3,302.6,96.4,252.3,404.1,161.3,2365.7,1334.9,1030.8
Andaman and Nicobar Islands,Nicobar,2009,67.9,27.9,86.6,161.1,465.2,139,152.7,169.1,164.9,122.6,138.4,142,1837.4,1213.5,623.9
Andaman and Nicobar Islands,Nicobar,2010,79.8,26,1.7,28.3,232.5,502,442.9,318.9,234.8,249.1,583.2,355.7,3054.9,1980.2,1074.7
Andhra Pradesh, Khammam,2009,0,0,10.1,2.8,68.3,36.4,185.2,172.1,144.2,81.4,33.6,0,734.1,687.6,46.5
Andhra Pradesh, Khammam,2010,29.5,4.7,2.2,23.8,134.2,153.6,615,304.6,303.6,120,67.5,45,1803.7,1631,172.7
Andhra Pradesh, Krishna,2009,0,0,0.8,0,105.1,36.1,87.2,175.7,154.8,75.6,99.1,1.7,736.1,634.5,101.6
Andhra Pradesh, Krishna,2010,16.6,0,0,20.1,202.3,131.7,373.1,296.2,318.1,201.8,152.8,92.5,1805.2,1523.2,282
Andhra Pradesh, Kurnool,2009,0.1,0,12.8,0,67.5,88.6,24.7,88.5,227.3,197.2,57.8,3.4,767.9,693.8,74.1
Andhra Pradesh, Kurnool,2010,4.1,0,0,18.8,41.4,91.7,194,208.5,124.5,80.6,48.2,11.4,823.2,740.7,82.5
Andhra Pradesh, Medak,2009,0,0,0,6.6,21,52.3,64.3,157.6,142.7,41.2,13.8,4.6,504.1,479.1,25
Andhra Pradesh, Medak,2010,9.7,13.5,0,5.5,5.3,83.8,337,269.9,199.6,95.2,18.3,0.6,1038.4,990.8,47.6
Andhra Pradesh, Nellore,2009,0.1,0,0.1,0,28.5,33.2,40.3,111.6,66.9,49.6,465.7,109.6,905.6,330.1,575.5
