Date,Temperature,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Kharif,Rabi
1796-01-01,26.534000000000002,Andaman And Nicobar,,,,,,,,,,,,,,
1796-02-01,26.294,Andaman And Nicobar,,,,,,,,,,,,,,
1796-03-01,26.18,Andaman And Nicobar,,,,,,,,,,,,,,
1796-04-01,27.941999999999997,Andaman And Nicobar,,,,,,,,,,,,,,
1796-05-01,28.651,Andaman And Nicobar,,,,,,,,,,,,,,
1796-06-01,28.307,Andaman And Nicobar,,,,,,,,,,,,,,
1796-07-01,27.482,Andaman And Nicobar,,,,,,,,,,,,,,
1796-08-01,28.025,Andaman And Nicobar,,,,,,,,,,,,,,
1796-09-01,27.185,Andaman And Nicobar,,,,,,,,,,,,,,
1796-10-01,26.808000000000003,Andaman And Nicobar,,,,,,,,,,,,,,
1796-11-01,26.646,Andaman And Nicobar,,,,,,,,,,,,,,
1796-12-01,24.796,Andaman And Nicobar,,,,,,,,,,,,,,
1797-01-01,,Andaman And Nicobar,,,,,,,,,,,,,,
1797-02-01,,Andaman And Nicobar,,,,,,,,,,,,,,
1797-03-01,26.717,Andaman And Nicobar,,,,,,,,,,,,,,
1797-04-01,27.111,Andaman And Nicobar,,,,,,,,,,,,,,
1797-05-01,27.855999999999998,Andaman And Nicobar,,,,,,,,,,,,,,
1797-06-01,28.733,Andaman And Nicobar,,,,,,,,,,,,,,
1797-07-01,27.436,Andaman And Nicobar,,,,,,,,,,,,,,
1797-08-01,27.955,Andaman And Nicobar,,,,,,,,,,,,,,
1797-09-01,27.281,Andaman And Nicobar,,,,,,,,,,,,,,
1797-10-01,26.412,Andaman And Nicobar,,,,,,,,,,,,,,
1797-11-01,25.62,Andaman And Nicobar,,,,,,,,,,,,,,
1797-12-01,26.513,Andaman And Nicobar,,,,,,,,,,,,,,
1798-01-01,26.754,Andaman And Nicobar,,,,,,,,,,,,,,
1798-02-01,26.55,Andaman And Nicobar,,,,,,,,,,,,,,
1798-03-01,28.337,Andaman And Nicobar,,,,,,,,,,,,,,
1798-04-01,,Andaman And Nicobar,,,,,,,,,,,,,,
