State,District,Year,Season,Crop,Rainfall,Area,Yield
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,2763.2,102,321
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,3080.9,83,300
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,2620.2,189.2,510.84
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,2355.9,52,90.17
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,2460.1,52.94,72.57
Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2954.7,2.09,12.06
Andaman and Nicobar Islands,NICOBARS,2010,Kharif     ,Rice,3157.1,3.5,10
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,2763.2,10779,31863
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,3080.9,9718,27033
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,2404.7,6854.3,18995.62
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Kharif     ,Rice,3157.1,6791,20118
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,2620.2,10695.8,31600.82
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,2355.9,10509.37,30760.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,2460.1,10681.98,29119.66
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,2954.7,8683.38,25870.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,2404.7,921.87,2539.64
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Kharif     ,Rice,3157.1,1595.5,3788
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,575.694,35600,75400
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,221.47,18000,37300
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,790.777,38300,96800
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,90.696,26600,63900
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,571.786,37991,105082
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,91.784,20258,45669
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Rice,703.741,39905,117680
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Rice,.63.61,22099,57236
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Rice,491.622,32878,95609
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Rice,84.76,38119,108906
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Rice,512.051,29066,66329
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Rice,28.019,10960,20462
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Rice,500.4,24335,85051
Andhra Pradesh,ANANTAPUR,2004,Rabi       ,Rice,64.1,9240,21622
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Rice,726.1,25008,69972
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Rice,93.6,23142,55587
Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Rice,354.5,22349,67427
Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Rice,141.1,10846,31974
Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Rice,665,30000,95000
Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Rice,24.9,14000,37000
Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Rice,680.9,30306,94615
Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Rice,186.2,18416,49815
Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Rice,506.8,32226,101512
Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Rice,78.8,19428,46899
Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Rice,614.3,34973,102007
Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Rice,239.5,24828,69394
Andhra Pradesh,CHITTOOR,1997,Kharif     ,Rice,614.07,42300,84400
Andhra Pradesh,CHITTOOR,1997,Rabi       ,Rice,418.05,57400,137400
Andhra Pradesh,CHITTOOR,1998,Kharif     ,Rice,765.66,42000,105400
Andhra Pradesh,CHITTOOR,1998,Rabi       ,Rice,216.12,62400,159200
Andhra Pradesh,CHITTOOR,1999,Kharif     ,Rice,660.618,37542,75477
Andhra Pradesh,CHITTOOR,1999,Rabi       ,Rice,131.456,37489,76800
Andhra Pradesh,CHITTOOR,2000,Kharif     ,Rice,804.511,33776,89236
Andhra Pradesh,CHITTOOR,2000,Rabi       ,Rice,129.48,41442,97181
Andhra Pradesh,CHITTOOR,2001,Kharif     ,Rice,648.08,24377,55311
Andhra Pradesh,CHITTOOR,2001,Rabi       ,Rice,163.25,62049,170573
Andhra Pradesh,CHITTOOR,2002,Kharif     ,Rice,627.11,20137,50020
Andhra Pradesh,CHITTOOR,2002,Rabi       ,Rice,110.45,30034,76827
Andhra Pradesh,CHITTOOR,2004,Kharif     ,Rice,687.8,19055,43331
Andhra Pradesh,CHITTOOR,2004,Rabi       ,Rice,122.8,25822,69177
Andhra Pradesh,CHITTOOR,2005,Kharif     ,Rice,1017.5,16240,37173
Andhra Pradesh,CHITTOOR,2005,Rabi       ,Rice,526.8,66351,193612
Andhra Pradesh,CHITTOOR,2006,Kharif     ,Rice,363.37,17049,42520
Andhra Pradesh,CHITTOOR,2006,Rabi       ,Rice,176.94,29164,85101
Andhra Pradesh,CHITTOOR,2007,Kharif     ,Rice,600,15000,42000
Andhra Pradesh,CHITTOOR,2007,Rabi       ,Rice,92.818,37000,116000
Andhra Pradesh,CHITTOOR,2008,Kharif     ,Rice,615,17596,46242
Andhra Pradesh,CHITTOOR,2008,Rabi       ,Rice,383.4,37927,118636
Andhra Pradesh,CHITTOOR,2009,Kharif     ,Rice,500.4,19758,56192
Andhra Pradesh,CHITTOOR,2009,Rabi       ,Rice,254,35155,113937
Andhra Pradesh,CHITTOOR,2010,Kharif     ,Rice,739.4,18019,53639
Andhra Pradesh,CHITTOOR,2010,Rabi       ,Rice,340.2,43558,131502
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Rice,943.25,214100,429300
Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,Rice,256.72,154400,491500
Andhra Pradesh,EAST GODAVARI,1998,Kharif     ,Rice,998.23,256300,386600
Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,Rice,170.97,157600,656600
Andhra Pradesh,EAST GODAVARI,1999,Kharif     ,Rice,767.54,244655,628606
Andhra Pradesh,EAST GODAVARI,1999,Rabi       ,Rice,7.18,161551,645162
Andhra Pradesh,EAST GODAVARI,2000,Kharif     ,Rice,1200.8,253966,683423
Andhra Pradesh,EAST GODAVARI,2000,Rabi       ,Rice,64.63,162861,683202
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Rice,883.78,220811,579850
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Rice,123.72,165779,750150
Andhra Pradesh,EAST GODAVARI,2002,Kharif     ,Rice,690.069,194809,551115
Andhra Pradesh,EAST GODAVARI,2002,Rabi       ,Rice,98.411,106427,491906
Andhra Pradesh,EAST GODAVARI,2004,Kharif     ,Rice,942.1,224521,743614
Andhra Pradesh,EAST GODAVARI,2004,Rabi       ,Rice,41.2,162903,766296
Andhra Pradesh,EAST GODAVARI,2005,Kharif     ,Rice,1332,217411,348727
Andhra Pradesh,EAST GODAVARI,2005,Rabi       ,Rice,95.8,170012,800927
Andhra Pradesh,EAST GODAVARI,2006,Kharif     ,Rice,1068.3,227930,547716
Andhra Pradesh,EAST GODAVARI,2006,Rabi       ,Rice,115.7,168963,845829
Andhra Pradesh,EAST GODAVARI,2007,Kharif     ,Rice,1110.2,242000,715000
Andhra Pradesh,EAST GODAVARI,2007,Rabi       ,Rice,37.5,169000,803000
Andhra Pradesh,EAST GODAVARI,2008,Kharif     ,Rice,893.7,240231,716609
Andhra Pradesh,EAST GODAVARI,2008,Rabi       ,Rice,229.7,169861,796648
Andhra Pradesh,EAST GODAVARI,2009,Kharif     ,Rice,544,202153,616567
Andhra Pradesh,EAST GODAVARI,2009,Rabi       ,Rice,63.4,104423,456537
Andhra Pradesh,EAST GODAVARI,2010,Kharif     ,Rice,1353.7,237640,457704
Andhra Pradesh,EAST GODAVARI,2010,Rabi       ,Rice,555.1,172888,849917
Andhra Pradesh,GUNTUR,1997,Kharif     ,Rice,621.74,295000,845300
Andhra Pradesh,GUNTUR,1997,Rabi       ,Rice,304.721,14500,51800
Andhra Pradesh,GUNTUR,1998,Kharif     ,Rice,742.95,298400,921400
Andhra Pradesh,GUNTUR,1998,Rabi       ,Rice,84.58,29100,99900
Andhra Pradesh,GUNTUR,1999,Kharif     ,Rice,525.39,302886,969414
Andhra Pradesh,GUNTUR,1999,Rabi       ,Rice,21.65,14822,53167
Andhra Pradesh,GUNTUR,2000,Kharif     ,Rice,807.31,292899,987363
Andhra Pradesh,GUNTUR,2000,Rabi       ,Rice,63.32,12692,49600
Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,698.57,272468,935110
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,94.25,44917,181060
Andhra Pradesh,GUNTUR,2002,Kharif     ,Rice,565.79,202953,646811
Andhra Pradesh,GUNTUR,2002,Rabi       ,Rice,93.16,2716,7385
Andhra Pradesh,GUNTUR,2004,Kharif     ,Rice,720.5,240404,833961
Andhra Pradesh,GUNTUR,2004,Rabi       ,Rice,39,21247,70922
Andhra Pradesh,GUNTUR,2005,Kharif     ,Rice,913,288879,892636
Andhra Pradesh,GUNTUR,2005,Rabi       ,Rice,39.7,31434,111559
Andhra Pradesh,GUNTUR,2006,Kharif     ,Rice,668.4,288638,783941
Andhra Pradesh,GUNTUR,2006,Rabi       ,Rice,184.2,28933,100947
Andhra Pradesh,GUNTUR,2007,Kharif     ,Rice,939.6,283000,976000
Andhra Pradesh,GUNTUR,2007,Rabi       ,Rice,69,24000,85000
Andhra Pradesh,GUNTUR,2008,Kharif     ,Rice,691.8,281491,959321
Andhra Pradesh,GUNTUR,2008,Rabi       ,Rice,272.4,51358,187662
Andhra Pradesh,GUNTUR,2009,Kharif     ,Rice,549.6,190526,683226
Andhra Pradesh,GUNTUR,2009,Rabi       ,Rice,94,112342,383423
Andhra Pradesh,GUNTUR,2010,Kharif     ,Rice,1243.6,271072,649760
Andhra Pradesh,GUNTUR,2010,Rabi       ,Rice,241.5,58393,201806
Andhra Pradesh,KRISHNA,1997,Kharif     ,Rice,824.61,257900,699400
Andhra Pradesh,KRISHNA,1997,Rabi       ,Rice,271.042,116300,393500
