State,Season,Crop,Rainfall,Temperature,Area,Yield
Andaman and Nicobar,Kharif     ,Rice,2763.2,27.8616666666667,102,321
Andaman and Nicobar,Kharif     ,Rice,3080.9,28.0536666666667,83,300
Andaman and Nicobar,Kharif     ,Rice,2620.2,28.0998333333333,189.2,510.84
Andaman and Nicobar,Kharif     ,Rice,2355.9,28.0801666666667,52,90.17
Andaman and Nicobar,Kharif     ,Rice,2460.1,27.9308333333333,52.94,72.57
Andaman and Nicobar,Kharif     ,Rice,2954.7,28.2021666666667,2.09,12.06
Andaman and Nicobar,Kharif     ,Rice,3157.1,28.646,3.5,10
Andaman and Nicobar,Kharif     ,Rice,2763.2,27.8616666666667,10779,31863
Andaman and Nicobar,Kharif     ,Rice,3080.9,28.0536666666667,9718,27033
Andaman and Nicobar,Kharif     ,Rice,2404.7,27.9246666666667,6854.3,18995.62
Andaman and Nicobar,Kharif     ,Rice,3157.1,28.646,6791,20118
Andaman and Nicobar,Kharif     ,Rice,2620.2,28.0998333333333,10695.8,31600.82
Andaman and Nicobar,Kharif     ,Rice,2355.9,28.0801666666667,10509.37,30760.7
Andaman and Nicobar,Kharif     ,Rice,2460.1,27.9308333333333,10681.98,29119.66
Andaman and Nicobar,Kharif     ,Rice,2954.7,28.2021666666667,8683.38,25870.98
Andaman and Nicobar,Kharif     ,Rice,2404.7,27.9246666666667,921.87,2539.64
Andaman and Nicobar,Kharif     ,Rice,3157.1,28.646,1595.5,3788
Andhra Pradesh,Kharif     ,Rice,575.694,29.3941666666667,35600,75400
Andhra Pradesh,Rabi       ,Rice,221.47,25.9783333333333,18000,37300
Andhra Pradesh,Kharif     ,Rice,790.777,29.5125,38300,96800
Andhra Pradesh,Rabi       ,Rice,90.696,26.6205,26600,63900
Andhra Pradesh,Kharif     ,Rice,571.786,28.7536666666667,37991,105082
Andhra Pradesh,Rabi       ,Rice,91.784,26.3013333333333,20258,45669
Andhra Pradesh,Kharif     ,Rice,703.741,28.7226666666667,39905,117680
Andhra Pradesh,Rabi       ,Rice,63.61,26.2951666666667,22099,57236
Andhra Pradesh,Kharif     ,Rice,491.622,29.1538333333333,32878,95609
Andhra Pradesh,Rabi       ,Rice,84.76,26.4146666666667,38119,108906
Andhra Pradesh,Kharif     ,Rice,512.051,29.4455,29066,66329
Andhra Pradesh,Rabi       ,Rice,28.019,26.4505,10960,20462
Andhra Pradesh,Kharif     ,Rice,500.4,28.7231666666667,24335,85051
Andhra Pradesh,Rabi       ,Rice,64.1,26.2636666666667,9240,21622
Andhra Pradesh,Kharif     ,Rice,726.1,29.2271666666667,25008,69972
Andhra Pradesh,Rabi       ,Rice,93.6,26.2478333333333,23142,55587
Andhra Pradesh,Kharif     ,Rice,354.5,29.1621666666667,22349,67427
Andhra Pradesh,Rabi       ,Rice,141.1,26.222,10846,31974
Andhra Pradesh,Kharif     ,Rice,665,29.112,30000,95000
Andhra Pradesh,Rabi       ,Rice,24.9,26.3211666666667,14000,37000
Andhra Pradesh,Kharif     ,Rice,680.9,29.0945,30306,94615
Andhra Pradesh,Rabi       ,Rice,186.2,26.1485,18416,49815
Andhra Pradesh,Kharif     ,Rice,506.8,29.6225,32226,101512
Andhra Pradesh,Rabi       ,Rice,78.8,26.8253333333333,19428,46899
Andhra Pradesh,Kharif     ,Rice,614.3,29.0765,34973,102007
Andhra Pradesh,Rabi       ,Rice,239.5,26.7608333333333,24828,69394
Andhra Pradesh,Kharif     ,Rice,614.07,29.3941666666667,42300,84400
Andhra Pradesh,Rabi       ,Rice,418.05,25.9783333333333,57400,137400
Andhra Pradesh,Kharif     ,Rice,765.66,29.5125,42000,105400
Andhra Pradesh,Rabi       ,Rice,216.12,26.6205,62400,159200
Andhra Pradesh,Kharif     ,Rice,660.618,28.7536666666667,37542,75477
Andhra Pradesh,Rabi       ,Rice,131.456,26.3013333333333,37489,76800
Andhra Pradesh,Kharif     ,Rice,804.511,28.7226666666667,33776,89236
Andhra Pradesh,Rabi       ,Rice,129.48,26.2951666666667,41442,97181
Andhra Pradesh,Kharif     ,Rice,648.08,29.1538333333333,24377,55311
Andhra Pradesh,Rabi       ,Rice,163.25,26.4146666666667,62049,170573
Andhra Pradesh,Kharif     ,Rice,627.11,29.4455,20137,50020
Andhra Pradesh,Rabi       ,Rice,110.45,26.4505,30034,76827
Andhra Pradesh,Kharif     ,Rice,687.8,28.7231666666667,19055,43331
Andhra Pradesh,Rabi       ,Rice,122.8,26.2636666666667,25822,69177
Andhra Pradesh,Kharif     ,Rice,1017.5,29.2271666666667,16240,37173
Andhra Pradesh,Rabi       ,Rice,526.8,26.2478333333333,66351,193612
Andhra Pradesh,Kharif     ,Rice,363.37,29.1621666666667,17049,42520
Andhra Pradesh,Rabi       ,Rice,176.94,26.222,29164,85101
Andhra Pradesh,Kharif     ,Rice,600,29.112,15000,42000
Andhra Pradesh,Rabi       ,Rice,92.818,26.3211666666667,37000,116000
Andhra Pradesh,Kharif     ,Rice,615,29.0945,17596,46242
Andhra Pradesh,Rabi       ,Rice,383.4,26.1485,37927,118636
Andhra Pradesh,Kharif     ,Rice,500.4,29.6225,19758,56192
Andhra Pradesh,Rabi       ,Rice,254,26.8253333333333,35155,113937
Andhra Pradesh,Kharif     ,Rice,739.4,29.0765,18019,53639
Andhra Pradesh,Rabi       ,Rice,340.2,26.7608333333333,43558,131502
Andhra Pradesh,Kharif     ,Rice,943.25,29.3941666666667,214100,429300
Andhra Pradesh,Rabi       ,Rice,256.72,25.9783333333333,154400,491500
