State,District,Year,Season,Crop,Area,Yield,Rainfall
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102,321,
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83,300,
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84,
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52,90.17,
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57,
Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06,
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779,31863,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718,27033,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791,20118,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,10509.37,30760.7,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,10681.98,29119.66,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,921.87,2539.64,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788,
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600,75400,
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000,37300,
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300,96800,
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600,63900,
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,37991,105082,
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,20258,45669,
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Rice,39905,117680,
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Rice,22099,57236,
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Rice,32878,95609,
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Rice,38119,108906,
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Rice,29066,66329,
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Rice,10960,20462,
Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Rice,17515,44891,
Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Rice,10826,25463,
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Rice,24335,85051,
Andhra Pradesh,ANANTAPUR,2004,Rabi       ,Rice,9240,21622,
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Rice,25008,69972,
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Rice,23142,55587,
Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Rice,22349,67427,
Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Rice,10846,31974,
Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Rice,30000,95000,
Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Rice,14000,37000,
Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Rice,30306,94615,
Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Rice,18416,49815,
Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Rice,32226,101512,
Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Rice,19428,46899,
Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Rice,34973,102007,
Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Rice,24828,69394,
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Rice,37720,94531,
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Rice,10948,25542,
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Rice,22056,58691,
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Rice,6998,17768,
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Rice,28114,59377,
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Rice,12283,28558,
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Rice,22658,68155,
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Rice,6553,14377,
Andhra Pradesh,ANANTAPUR,2014,Whole Year ,Rice,29211,82532,
Andhra Pradesh,CHITTOOR,1997,Kharif     ,Rice,42300,84400,
Andhra Pradesh,CHITTOOR,1997,Rabi       ,Rice,57400,137400,
Andhra Pradesh,CHITTOOR,1998,Kharif     ,Rice,42000,105400,
Andhra Pradesh,CHITTOOR,1998,Rabi       ,Rice,62400,159200,
Andhra Pradesh,CHITTOOR,1999,Kharif     ,Rice,37542,75477,
Andhra Pradesh,CHITTOOR,1999,Rabi       ,Rice,37489,76800,
Andhra Pradesh,CHITTOOR,2000,Kharif     ,Rice,33776,89236,
Andhra Pradesh,CHITTOOR,2000,Rabi       ,Rice,41442,97181,
Andhra Pradesh,CHITTOOR,2001,Kharif     ,Rice,24377,55311,
Andhra Pradesh,CHITTOOR,2001,Rabi       ,Rice,62049,170573,
Andhra Pradesh,CHITTOOR,2002,Kharif     ,Rice,20137,50020,
Andhra Pradesh,CHITTOOR,2002,Rabi       ,Rice,30034,76827,
Andhra Pradesh,CHITTOOR,2003,Kharif     ,Rice,18495,38562,
Andhra Pradesh,CHITTOOR,2003,Rabi       ,Rice,27286,46714,
Andhra Pradesh,CHITTOOR,2004,Kharif     ,Rice,19055,43331,
Andhra Pradesh,CHITTOOR,2004,Rabi       ,Rice,25822,69177,
Andhra Pradesh,CHITTOOR,2005,Kharif     ,Rice,16240,37173,
Andhra Pradesh,CHITTOOR,2005,Rabi       ,Rice,66351,193612,
Andhra Pradesh,CHITTOOR,2006,Kharif     ,Rice,17049,42520,
Andhra Pradesh,CHITTOOR,2006,Rabi       ,Rice,29164,85101,
Andhra Pradesh,CHITTOOR,2007,Kharif     ,Rice,15000,42000,
Andhra Pradesh,CHITTOOR,2007,Rabi       ,Rice,37000,116000,
Andhra Pradesh,CHITTOOR,2008,Kharif     ,Rice,17596,46242,
Andhra Pradesh,CHITTOOR,2008,Rabi       ,Rice,37927,118636,
Andhra Pradesh,CHITTOOR,2009,Kharif     ,Rice,19758,56192,
Andhra Pradesh,CHITTOOR,2009,Rabi       ,Rice,35155,113937,
Andhra Pradesh,CHITTOOR,2010,Kharif     ,Rice,18019,53639,
Andhra Pradesh,CHITTOOR,2010,Rabi       ,Rice,43558,131502,
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Rice,17342,55719,
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Rice,33764,113211,
Andhra Pradesh,CHITTOOR,2012,Kharif     ,Rice,12952,45241,
Andhra Pradesh,CHITTOOR,2012,Rabi       ,Rice,34557,126168,
Andhra Pradesh,CHITTOOR,2013,Kharif     ,Rice,15206,48766,
Andhra Pradesh,CHITTOOR,2013,Rabi       ,Rice,34654,120249,
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Rice,13304,44462,
Andhra Pradesh,CHITTOOR,2014,Rabi       ,Rice,27661,87962,
Andhra Pradesh,CHITTOOR,2014,Whole Year ,Rice,40965,132424,
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Rice,214100,429300,
Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,Rice,154400,491500,
Andhra Pradesh,EAST GODAVARI,1998,Kharif     ,Rice,256300,386600,
Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,Rice,157600,656600,
Andhra Pradesh,EAST GODAVARI,1999,Kharif     ,Rice,244655,628606,
Andhra Pradesh,EAST GODAVARI,1999,Rabi       ,Rice,161551,645162,
Andhra Pradesh,EAST GODAVARI,2000,Kharif     ,Rice,253966,683423,
Andhra Pradesh,EAST GODAVARI,2000,Rabi       ,Rice,162861,683202,
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Rice,220811,579850,
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Rice,165779,750150,
Andhra Pradesh,EAST GODAVARI,2002,Kharif     ,Rice,194809,551115,
Andhra Pradesh,EAST GODAVARI,2002,Rabi       ,Rice,106427,491906,
Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Rice,234673,762453,
Andhra Pradesh,EAST GODAVARI,2003,Rabi       ,Rice,165321,869092,
Andhra Pradesh,EAST GODAVARI,2004,Kharif     ,Rice,224521,743614,
Andhra Pradesh,EAST GODAVARI,2004,Rabi       ,Rice,162903,766296,
Andhra Pradesh,EAST GODAVARI,2005,Kharif     ,Rice,217411,348727,
Andhra Pradesh,EAST GODAVARI,2005,Rabi       ,Rice,170012,800927,
Andhra Pradesh,EAST GODAVARI,2006,Kharif     ,Rice,227930,547716,
Andhra Pradesh,EAST GODAVARI,2006,Rabi       ,Rice,168963,845829,
Andhra Pradesh,EAST GODAVARI,2007,Kharif     ,Rice,242000,715000,
Andhra Pradesh,EAST GODAVARI,2007,Rabi       ,Rice,169000,803000,
Andhra Pradesh,EAST GODAVARI,2008,Kharif     ,Rice,240231,716609,
Andhra Pradesh,EAST GODAVARI,2008,Rabi       ,Rice,169861,796648,
Andhra Pradesh,EAST GODAVARI,2009,Kharif     ,Rice,202153,616567,
